Open Price,Low Price,High Price,Close Price,Change Amount,Change Percent,Gregorian Date,Persian Date
1929900,1869200,1975900,1897100,7300,0.38%,2026/01/29,1404/11/09
1835300,1833400,1909900,1904400,87000,4.79%,2026/01/28,1404/11/08
1740500,1739200,1817400,1817400,76400,4.39%,2026/01/27,1404/11/07
1671200,1646500,1743100,1741000,69700,4.17%,2026/01/26,1404/11/06
1657900,1657900,1676900,1671300,13100,0.79%,2026/01/25,1404/11/05
1712200,1657900,1712200,1658200,47700,2.88%,2026/01/24,1404/11/04
1701900,1701200,1706400,1705900,1900,0.11%,2026/01/22,1404/11/02
1707100,1702800,1710000,1704000,4500,0.26%,2026/01/21,1404/11/01
1700600,1699600,1712200,1708500,12900,0.76%,2026/01/20,1404/10/30
1694600,1690500,1695700,1695600,6500,0.38%,2026/01/19,1404/10/29
1689100,1688700,1689200,1689100,300,0.02%,2026/01/18,1404/10/28
1688900,1688700,1689200,1688800,3300,0.2%,2026/01/17,1404/10/27
1693100,1691500,1695200,1692100,5200,0.31%,2026/01/15,1404/10/25
1696500,1695000,1698200,1697300,2700,0.16%,2026/01/14,1404/10/24
1697700,1694000,1700600,1694600,5500,0.32%,2026/01/13,1404/10/23
1701400,1699500,1703500,1700100,5500,0.32%,2026/01/12,1404/10/22
1694600,1694100,1694600,1694600,500,0.03%,2026/01/11,1404/10/21
1694400,1694100,1694600,1694100,11900,0.7%,2026/01/10,1404/10/20
1715800,1699400,1718900,1706000,19100,1.12%,2026/01/08,1404/10/18
1719900,1699600,1731500,1725100,5400,0.31%,2026/01/07,1404/10/17
1692000,1691800,1728000,1719700,35600,2.11%,2026/01/06,1404/10/16
1610900,1610400,1684100,1684100,66400,4.1%,2026/01/05,1404/10/15
1606800,1603200,1623600,1617700,22600,1.42%,2026/01/04,1404/10/14
1589700,1575800,1595100,1595100,2900,0.18%,2026/01/01,1404/10/11
1639400,1591800,1639900,1592200,49900,3.13%,2025/12/31,1404/10/10
1612100,1612000,1645500,1642100,22700,1.4%,2025/12/30,1404/10/09
1683600,1619000,1684600,1619400,66700,4.12%,2025/12/29,1404/10/08
